"","Concepto","year","mes","caja","morosidad","Mes"
"40","PréstamosPeq",2016,11,"CMAC Piura",6.28269138460457,2016-11-01
"41","Créditos a microempresas",2016,11,"CMAC Arequipa",5.86694794961952,2016-11-01
"42","Créditos a microempresas",2016,11,"CMAC Cusco",5.91884764051227,2016-11-01
"43","Créditos a microempresas",2016,11,"CMAC Huancayo",4.49351051572008,2016-11-01
"44","Créditos a microempresas",2016,11,"CMAC Piura",5.03510164039314,2016-11-01
"45","PréstamosMicro",2016,11,"CMAC Arequipa",5.86694794961952,2016-11-01
"46","PréstamosMicro",2016,11,"CMAC Cusco",5.9202909923463,2016-11-01
"47","PréstamosMicro",2016,11,"CMAC Huancayo",4.49353639044653,2016-11-01
"48","PréstamosMicro",2016,11,"CMAC Piura",4.96620900537184,2016-11-01
"49","Créditos pequeñas empresas",2016,12,"CMAC Arequipa",6.31437090507797,2016-12-01
"50","Créditos pequeñas empresas",2016,12,"CMAC Cusco",6.06011143141554,2016-12-01
"51","Créditos pequeñas empresas",2016,12,"CMAC Huancayo",3.9784450359811,2016-12-01
"52","Créditos pequeñas empresas",2016,12,"CMAC Piura",6.29509798876402,2016-12-01
"53","PréstamosPeq",2016,12,"CMAC Arequipa",6.31437090507797,2016-12-01
"54","PréstamosPeq",2016,12,"CMAC Cusco",6.06445991027886,2016-12-01
"55","PréstamosPeq",2016,12,"CMAC Huancayo",3.94808139476975,2016-12-01
"56","PréstamosPeq",2016,12,"CMAC Piura",6.13623855958254,2016-12-01
"57","Créditos a microempresas",2016,12,"CMAC Arequipa",5.10623529788277,2016-12-01
"58","Créditos a microempresas",2016,12,"CMAC Cusco",5.51659555597466,2016-12-01
"59","Créditos a microempresas",2016,12,"CMAC Huancayo",3.85461813716447,2016-12-01
"60","Créditos a microempresas",2016,12,"CMAC Piura",5.21076553044125,2016-12-01
"61","PréstamosMicro",2016,12,"CMAC Arequipa",5.10623529788277,2016-12-01
"62","PréstamosMicro",2016,12,"CMAC Cusco",5.51784733260631,2016-12-01
"63","PréstamosMicro",2016,12,"CMAC Huancayo",3.85462865366324,2016-12-01
"64","PréstamosMicro",2016,12,"CMAC Piura",5.13868793307633,2016-12-01
"65","Créditos pequeñas empresas",2016,2,"CMAC Arequipa",7.86328806665097,2016-02-01
"66","Créditos pequeñas empresas",2016,2,"CMAC Cusco",7.27660432628787,2016-02-01
"67","Créditos pequeñas empresas",2016,2,"CMAC Huancayo",4.75630976647383,2016-02-01
"68","Créditos pequeñas empresas",2016,2,"CMAC Piura",6.87451710525124,2016-02-01
"69","PréstamosPeq",2016,2,"CMAC Arequipa",7.86328806665097,2016-02-01
"70","PréstamosPeq",2016,2,"CMAC Cusco",7.27566920567252,2016-02-01
"71","PréstamosPeq",2016,2,"CMAC Huancayo",4.72293051613791,2016-02-01
"72","PréstamosPeq",2016,2,"CMAC Piura",6.72519152205749,2016-02-01
"73","Créditos a microempresas",2016,2,"CMAC Arequipa",6.62493090752649,2016-02-01
"74","Créditos a microempresas",2016,2,"CMAC Cusco",5.80077318969607,2016-02-01
"75","Créditos a microempresas",2016,2,"CMAC Huancayo",4.79277254701163,2016-02-01
"76","Créditos a microempresas",2016,2,"CMAC Piura",3.96225021173226,2016-02-01
"77","PréstamosMicro",2016,2,"CMAC Arequipa",6.62493090752649,2016-02-01
"78","PréstamosMicro",2016,2,"CMAC Cusco",5.80077318969607,2016-02-01
"79","PréstamosMicro",2016,2,"CMAC Huancayo",4.79329105810154,2016-02-01
"80","PréstamosMicro",2016,2,"CMAC Piura",3.87877585187147,2016-02-01
"81","Créditos pequeñas empresas",2016,3,"CMAC Arequipa",8.09939054600452,2016-03-01
"82","Créditos pequeñas empresas",2016,3,"CMAC Cusco",7.43571918306482,2016-03-01
"83","Créditos pequeñas empresas",2016,3,"CMAC Huancayo",4.53537191494382,2016-03-01
"84","Créditos pequeñas empresas",2016,3,"CMAC Piura",7.39653046157535,2016-03-01
"85","PréstamosPeq",2016,3,"CMAC Arequipa",8.09939054600452,2016-03-01
"86","PréstamosPeq",2016,3,"CMAC Cusco",7.43542836083348,2016-03-01
"87","PréstamosPeq",2016,3,"CMAC Huancayo",4.49715904624154,2016-03-01
"88","PréstamosPeq",2016,3,"CMAC Piura",7.25901345721684,2016-03-01
"89","Créditos a microempresas",2016,3,"CMAC Arequipa",6.23290572582541,2016-03-01
"90","Créditos a microempresas",2016,3,"CMAC Cusco",6.01225702807337,2016-03-01
"91","Créditos a microempresas",2016,3,"CMAC Huancayo",4.72547211850408,2016-03-01
"92","Créditos a microempresas",2016,3,"CMAC Piura",4.28239281460797,2016-03-01
"93","PréstamosMicro",2016,3,"CMAC Arequipa",6.23290572582541,2016-03-01
"94","PréstamosMicro",2016,3,"CMAC Cusco",6.01225702807337,2016-03-01
"95","PréstamosMicro",2016,3,"CMAC Huancayo",4.72596536782099,2016-03-01
"96","PréstamosMicro",2016,3,"CMAC Piura",4.20260497927689,2016-03-01
"97","Créditos pequeñas empresas",2016,4,"CMAC Arequipa",8.17921340953078,2016-04-01
"98","Créditos pequeñas empresas",2016,4,"CMAC Cusco",7.50672105495581,2016-04-01
"99","Créditos pequeñas empresas",2016,4,"CMAC Huancayo",4.6125486547065,2016-04-01
"100","Créditos pequeñas empresas",2016,4,"CMAC Piura",7.55291739878912,2016-04-01
"101","PréstamosPeq",2016,4,"CMAC Arequipa",8.17921340953078,2016-04-01
"102","PréstamosPeq",2016,4,"CMAC Cusco",7.50643819985244,2016-04-01
"103","PréstamosPeq",2016,4,"CMAC Huancayo",4.57669305017487,2016-04-01
"104","PréstamosPeq",2016,4,"CMAC Piura",7.42176173293232,2016-04-01
"105","Créditos a microempresas",2016,4,"CMAC Arequipa",6.53116245034805,2016-04-01
"106","Créditos a microempresas",2016,4,"CMAC Cusco",6.05350707573074,2016-04-01
"107","Créditos a microempresas",2016,4,"CMAC Huancayo",4.8639220959089,2016-04-01
"108","Créditos a microempresas",2016,4,"CMAC Piura",4.37040017856491,2016-04-01
"109","PréstamosMicro",2016,4,"CMAC Arequipa",6.53116245034805,2016-04-01
"110","PréstamosMicro",2016,4,"CMAC Cusco",6.05350707573074,2016-04-01
"111","PréstamosMicro",2016,4,"CMAC Huancayo",4.86441556560104,2016-04-01
"112","PréstamosMicro",2016,4,"CMAC Piura",4.29416905980702,2016-04-01
"113","Créditos pequeñas empresas",2016,5,"CMAC Arequipa",7.97692874256944,2016-05-01
"114","Créditos pequeñas empresas",2016,5,"CMAC Cusco",7.59686288703896,2016-05-01
"115","Créditos pequeñas empresas",2016,5,"CMAC Huancayo",4.56826626151158,2016-05-01
"116","Créditos pequeñas empresas",2016,5,"CMAC Piura",7.64253733125977,2016-05-01
"117","PréstamosPeq",2016,5,"CMAC Arequipa",7.97692874256944,2016-05-01
"118","PréstamosPeq",2016,5,"CMAC Cusco",7.59686288703896,2016-05-01
"119","PréstamosPeq",2016,5,"CMAC Huancayo",4.52995034700764,2016-05-01
"120","PréstamosPeq",2016,5,"CMAC Piura",7.51153862666356,2016-05-01
"121","Créditos a microempresas",2016,5,"CMAC Arequipa",6.20222979819288,2016-05-01
"122","Créditos a microempresas",2016,5,"CMAC Cusco",6.14058443583355,2016-05-01
"123","Créditos a microempresas",2016,5,"CMAC Huancayo",4.93671074276778,2016-05-01
"124","Créditos a microempresas",2016,5,"CMAC Piura",4.52278162938076,2016-05-01
"125","PréstamosMicro",2016,5,"CMAC Arequipa",6.20222979819288,2016-05-01
"126","PréstamosMicro",2016,5,"CMAC Cusco",6.14058443583355,2016-05-01
"127","PréstamosMicro",2016,5,"CMAC Huancayo",4.93671074276778,2016-05-01
"128","PréstamosMicro",2016,5,"CMAC Piura",4.44838393714289,2016-05-01
"129","Créditos pequeñas empresas",2016,6,"CMAC Arequipa",8.19895285641243,2016-06-01
"130","Créditos pequeñas empresas",2016,6,"CMAC Cusco",6.69420306314893,2016-06-01
"131","Créditos pequeñas empresas",2016,6,"CMAC Huancayo",4.48334306896083,2016-06-01
"132","Créditos pequeñas empresas",2016,6,"CMAC Piura",5.96919958941554,2016-06-01
"133","PréstamosPeq",2016,6,"CMAC Arequipa",8.19895285641243,2016-06-01
"134","PréstamosPeq",2016,6,"CMAC Cusco",6.69420306314893,2016-06-01
"135","PréstamosPeq",2016,6,"CMAC Huancayo",4.45417316362783,2016-06-01
"136","PréstamosPeq",2016,6,"CMAC Piura",5.83558745550807,2016-06-01
"137","Créditos a microempresas",2016,6,"CMAC Arequipa",5.64107515450823,2016-06-01
"138","Créditos a microempresas",2016,6,"CMAC Cusco",6.10349557031962,2016-06-01
"139","Créditos a microempresas",2016,6,"CMAC Huancayo",4.75684678330123,2016-06-01
"140","Créditos a microempresas",2016,6,"CMAC Piura",3.79550218474906,2016-06-01
"141","PréstamosMicro",2016,6,"CMAC Arequipa",5.64107515450823,2016-06-01
"142","PréstamosMicro",2016,6,"CMAC Cusco",6.10349557031962,2016-06-01
"143","PréstamosMicro",2016,6,"CMAC Huancayo",4.75684678330123,2016-06-01
"144","PréstamosMicro",2016,6,"CMAC Piura",3.7213589497212,2016-06-01
"145","Créditos pequeñas empresas",2016,7,"CMAC Arequipa",8.59017709790537,2016-07-01
"146","Créditos pequeñas empresas",2016,7,"CMAC Cusco",7.09827242312501,2016-07-01
"147","Créditos pequeñas empresas",2016,7,"CMAC Huancayo",4.75185077179725,2016-07-01
"148","Créditos pequeñas empresas",2016,7,"CMAC Piura",6.24996939762793,2016-07-01
"149","PréstamosPeq",2016,7,"CMAC Arequipa",8.59017709790537,2016-07-01
"150","PréstamosPeq",2016,7,"CMAC Cusco",7.09827242312501,2016-07-01
"151","PréstamosPeq",2016,7,"CMAC Huancayo",4.7245322892334,2016-07-01
"152","PréstamosPeq",2016,7,"CMAC Piura",6.08702473926485,2016-07-01
"153","Créditos a microempresas",2016,7,"CMAC Arequipa",5.44172757212078,2016-07-01
"154","Créditos a microempresas",2016,7,"CMAC Cusco",6.2821437683867,2016-07-01
"155","Créditos a microempresas",2016,7,"CMAC Huancayo",4.86984606528215,2016-07-01
"156","Créditos a microempresas",2016,7,"CMAC Piura",4.09465012488675,2016-07-01
"157","PréstamosMicro",2016,7,"CMAC Arequipa",5.44172757212078,2016-07-01
"158","PréstamosMicro",2016,7,"CMAC Cusco",6.2821437683867,2016-07-01
"159","PréstamosMicro",2016,7,"CMAC Huancayo",4.86993671610431,2016-07-01
"160","PréstamosMicro",2016,7,"CMAC Piura",4.01824004162508,2016-07-01
"161","Créditos pequeñas empresas",2016,8,"CMAC Arequipa",7.93676027885563,2016-08-01
"162","Créditos pequeñas empresas",2016,8,"CMAC Cusco",6.84363035182491,2016-08-01
"163","Créditos pequeñas empresas",2016,8,"CMAC Huancayo",4.65589479185736,2016-08-01
"164","Créditos pequeñas empresas",2016,8,"CMAC Piura",6.2722183719221,2016-08-01
"165","PréstamosPeq",2016,8,"CMAC Arequipa",7.93676027885563,2016-08-01
"166","PréstamosPeq",2016,8,"CMAC Cusco",6.84363035182491,2016-08-01
"167","PréstamosPeq",2016,8,"CMAC Huancayo",4.62858026781147,2016-08-01
"168","PréstamosPeq",2016,8,"CMAC Piura",6.11099134220748,2016-08-01
"169","Créditos a microempresas",2016,8,"CMAC Arequipa",5.86233469966592,2016-08-01
"170","Créditos a microempresas",2016,8,"CMAC Cusco",6.23606702225614,2016-08-01
"171","Créditos a microempresas",2016,8,"CMAC Huancayo",4.82797923939532,2016-08-01
"172","Créditos a microempresas",2016,8,"CMAC Piura",4.27853355669545,2016-08-01
"173","PréstamosMicro",2016,8,"CMAC Arequipa",5.86233469966592,2016-08-01
"174","PréstamosMicro",2016,8,"CMAC Cusco",6.23606702225614,2016-08-01
"175","PréstamosMicro",2016,8,"CMAC Huancayo",4.82805350300968,2016-08-01
"176","PréstamosMicro",2016,8,"CMAC Piura",4.20517697305128,2016-08-01
"177","Créditos pequeñas empresas",2016,9,"CMAC Arequipa",7.54381594160404,2016-09-01
"178","Créditos pequeñas empresas",2016,9,"CMAC Cusco",6.54781377288407,2016-09-01
"179","Créditos pequeñas empresas",2016,9,"CMAC Huancayo",4.63730594414775,2016-09-01
"180","Créditos pequeñas empresas",2016,9,"CMAC Piura",6.19138184059248,2016-09-01
"181","PréstamosPeq",2016,9,"CMAC Arequipa",7.54381594160404,2016-09-01
"182","PréstamosPeq",2016,9,"CMAC Cusco",6.54781377288407,2016-09-01
"183","PréstamosPeq",2016,9,"CMAC Huancayo",4.6104960725299,2016-09-01
"184","PréstamosPeq",2016,9,"CMAC Piura",6.03506925020526,2016-09-01
"185","Créditos a microempresas",2016,9,"CMAC Arequipa",5.6897410295196,2016-09-01
"186","Créditos a microempresas",2016,9,"CMAC Cusco",5.56437701500332,2016-09-01
"187","Créditos a microempresas",2016,9,"CMAC Huancayo",4.53163166156316,2016-09-01
"188","Créditos a microempresas",2016,9,"CMAC Piura",4.49312732408182,2016-09-01
"189","PréstamosMicro",2016,9,"CMAC Arequipa",5.6897410295196,2016-09-01
"190","PréstamosMicro",2016,9,"CMAC Cusco",5.56579044622517,2016-09-01
"191","PréstamosMicro",2016,9,"CMAC Huancayo",4.53168737545972,2016-09-01
"192","PréstamosMicro",2016,9,"CMAC Piura",4.41922026821509,2016-09-01
"193","Créditos pequeñas empresas",2017,1,"CMAC Arequipa",6.97556673360325,2017-01-01
"194","Créditos pequeñas empresas",2017,1,"CMAC Cusco",6.18151652060871,2017-01-01
"195","Créditos pequeñas empresas",2017,1,"CMAC Huancayo",4.71392548110614,2017-01-01
"196","Créditos pequeñas empresas",2017,1,"CMAC Piura",6.75573262377279,2017-01-01
"197","PréstamosPeq",2017,1,"CMAC Arequipa",6.97556673360325,2017-01-01
"198","PréstamosPeq",2017,1,"CMAC Cusco",6.19138394626943,2017-01-01
"199","PréstamosPeq",2017,1,"CMAC Huancayo",4.68505968482415,2017-01-01
"200","PréstamosPeq",2017,1,"CMAC Piura",6.5948214357344,2017-01-01
"201","Créditos a microempresas",2017,1,"CMAC Arequipa",5.66965711303677,2017-01-01
"202","Créditos a microempresas",2017,1,"CMAC Cusco",5.80359229784244,2017-01-01
"203","Créditos a microempresas",2017,1,"CMAC Huancayo",4.36441771580809,2017-01-01
"204","Créditos a microempresas",2017,1,"CMAC Piura",5.2149089530573,2017-01-01
"205","PréstamosMicro",2017,1,"CMAC Arequipa",5.66965711303677,2017-01-01
"206","PréstamosMicro",2017,1,"CMAC Cusco",5.80484626677601,2017-01-01
"207","PréstamosMicro",2017,1,"CMAC Huancayo",4.36441771580809,2017-01-01
"208","PréstamosMicro",2017,1,"CMAC Piura",5.14134810972694,2017-01-01
"209","Créditos pequeñas empresas",2017,10,"CMAC Arequipa",7.44295315961106,2017-10-01
"210","Créditos pequeñas empresas",2017,10,"CMAC Cusco",5.77348539379037,2017-10-01
"211","Créditos pequeñas empresas",2017,10,"CMAC Huancayo",4.56310257712261,2017-10-01
"212","Créditos pequeñas empresas",2017,10,"CMAC Piura",7.29942736051941,2017-10-01
"213","PréstamosPeq",2017,10,"CMAC Arequipa",7.44295315961106,2017-10-01
"214","PréstamosPeq",2017,10,"CMAC Cusco",5.78154508247128,2017-10-01
"215","PréstamosPeq",2017,10,"CMAC Huancayo",4.54885311215238,2017-10-01
"216","PréstamosPeq",2017,10,"CMAC Piura",7.16412305444342,2017-10-01
"217","Créditos a microempresas",2017,10,"CMAC Arequipa",5.65257457392143,2017-10-01
"218","Créditos a microempresas",2017,10,"CMAC Cusco",6.03302859285195,2017-10-01
"219","Créditos a microempresas",2017,10,"CMAC Huancayo",4.61435382343104,2017-10-01
"220","Créditos a microempresas",2017,10,"CMAC Piura",6.82278231692282,2017-10-01
"221","PréstamosMicro",2017,10,"CMAC Arequipa",5.65257457392143,2017-10-01
"222","PréstamosMicro",2017,10,"CMAC Cusco",6.03302859285195,2017-10-01
"223","PréstamosMicro",2017,10,"CMAC Huancayo",4.61435382343104,2017-10-01
"224","PréstamosMicro",2017,10,"CMAC Piura",6.75849032610235,2017-10-01
"225","Créditos pequeñas empresas",2017,11,"CMAC Arequipa",6.99510554955241,2017-11-01
"226","Créditos pequeñas empresas",2017,11,"CMAC Cusco",5.65418368600591,2017-11-01
"227","Créditos pequeñas empresas",2017,11,"CMAC Huancayo",4.53930998262495,2017-11-01
"228","Créditos pequeñas empresas",2017,11,"CMAC Piura",7.26164470238972,2017-11-01
"229","PréstamosPeq",2017,11,"CMAC Arequipa",6.99510554955241,2017-11-01
"230","PréstamosPeq",2017,11,"CMAC Cusco",5.66098046700349,2017-11-01
"231","PréstamosPeq",2017,11,"CMAC Huancayo",4.52860016085499,2017-11-01
"232","PréstamosPeq",2017,11,"CMAC Piura",7.12885708418909,2017-11-01
"233","Créditos a microempresas",2017,11,"CMAC Arequipa",5.39559377288923,2017-11-01
"234","Créditos a microempresas",2017,11,"CMAC Cusco",6.12082183276604,2017-11-01
"235","Créditos a microempresas",2017,11,"CMAC Huancayo",4.6234337981263,2017-11-01
"236","Créditos a microempresas",2017,11,"CMAC Piura",6.72012733513201,2017-11-01
"237","PréstamosMicro",2017,11,"CMAC Arequipa",5.39559377288923,2017-11-01
"238","PréstamosMicro",2017,11,"CMAC Cusco",6.12082183276604,2017-11-01
"239","PréstamosMicro",2017,11,"CMAC Huancayo",4.6234337981263,2017-11-01
"240","PréstamosMicro",2017,11,"CMAC Piura",6.65760581402205,2017-11-01
"241","Créditos pequeñas empresas",2017,12,"CMAC Arequipa",6.16459743353767,2017-12-01
"242","Créditos pequeñas empresas",2017,12,"CMAC Cusco",5.19898703572341,2017-12-01
"243","Créditos pequeñas empresas",2017,12,"CMAC Huancayo",4.08391102597862,2017-12-01
"244","Créditos pequeñas empresas",2017,12,"CMAC Piura",7.21338223255402,2017-12-01
"245","PréstamosPeq",2017,12,"CMAC Arequipa",6.16459743353767,2017-12-01
"246","PréstamosPeq",2017,12,"CMAC Cusco",5.20380460244341,2017-12-01
"247","PréstamosPeq",2017,12,"CMAC Huancayo",4.07349025446712,2017-12-01
"248","PréstamosPeq",2017,12,"CMAC Piura",7.20283209039751,2017-12-01
"249","Créditos a microempresas",2017,12,"CMAC Arequipa",4.62247760500288,2017-12-01
"250","Créditos a microempresas",2017,12,"CMAC Cusco",5.93056307074166,2017-12-01
"251","Créditos a microempresas",2017,12,"CMAC Huancayo",4.04599451690263,2017-12-01
"252","Créditos a microempresas",2017,12,"CMAC Piura",6.84091943713806,2017-12-01
"253","PréstamosMicro",2017,12,"CMAC Arequipa",4.62247760500288,2017-12-01
"254","PréstamosMicro",2017,12,"CMAC Cusco",5.93056307074166,2017-12-01
"255","PréstamosMicro",2017,12,"CMAC Huancayo",4.04599451690263,2017-12-01
"256","PréstamosMicro",2017,12,"CMAC Piura",6.81105450619138,2017-12-01
"257","Créditos pequeñas empresas",2017,2,"CMAC Arequipa",6.83080425292963,2017-02-01
"258","Créditos pequeñas empresas",2017,2,"CMAC Cusco",6.39297222151698,2017-02-01
"259","Créditos pequeñas empresas",2017,2,"CMAC Huancayo",4.77041666692416,2017-02-01
"260","Créditos pequeñas empresas",2017,2,"CMAC Piura",6.715020328811,2017-02-01
"261","PréstamosPeq",2017,2,"CMAC Arequipa",6.83080425292963,2017-02-01
"262","PréstamosPeq",2017,2,"CMAC Cusco",6.40282244478414,2017-02-01
"263","PréstamosPeq",2017,2,"CMAC Huancayo",4.74377592070482,2017-02-01
"264","PréstamosPeq",2017,2,"CMAC Piura",6.55867629364425,2017-02-01
"265","Créditos a microempresas",2017,2,"CMAC Arequipa",5.50375058368367,2017-02-01
"266","Créditos a microempresas",2017,2,"CMAC Cusco",6.01852428122157,2017-02-01
"267","Créditos a microempresas",2017,2,"CMAC Huancayo",4.57670235489808,2017-02-01
"268","Créditos a microempresas",2017,2,"CMAC Piura",5.34701112228502,2017-02-01
"269","PréstamosMicro",2017,2,"CMAC Arequipa",5.50375058368367,2017-02-01
"270","PréstamosMicro",2017,2,"CMAC Cusco",6.01977467237883,2017-02-01
"271","PréstamosMicro",2017,2,"CMAC Huancayo",4.57697869373121,2017-02-01
"272","PréstamosMicro",2017,2,"CMAC Piura",5.27544419315723,2017-02-01
"273","Créditos pequeñas empresas",2017,3,"CMAC Arequipa",6.88757656927301,2017-03-01
"274","Créditos pequeñas empresas",2017,3,"CMAC Cusco",6.161233946031,2017-03-01
"275","Créditos pequeñas empresas",2017,3,"CMAC Huancayo",4.63277710959492,2017-03-01
"276","Créditos pequeñas empresas",2017,3,"CMAC Piura",6.8053268232996,2017-03-01
"277","PréstamosPeq",2017,3,"CMAC Arequipa",6.88757656927301,2017-03-01
"278","PréstamosPeq",2017,3,"CMAC Cusco",6.17258680813722,2017-03-01
"279","PréstamosPeq",2017,3,"CMAC Huancayo",4.60651615266527,2017-03-01
"280","PréstamosPeq",2017,3,"CMAC Piura",6.64579918002425,2017-03-01
"281","Créditos a microempresas",2017,3,"CMAC Arequipa",5.51811063290377,2017-03-01
"282","Créditos a microempresas",2017,3,"CMAC Cusco",5.58610952187815,2017-03-01
"283","Créditos a microempresas",2017,3,"CMAC Huancayo",4.57920448639946,2017-03-01
"284","Créditos a microempresas",2017,3,"CMAC Piura",5.10355129747368,2017-03-01
"285","PréstamosMicro",2017,3,"CMAC Arequipa",5.51811063290377,2017-03-01
"286","PréstamosMicro",2017,3,"CMAC Cusco",5.58826441208885,2017-03-01
"287","PréstamosMicro",2017,3,"CMAC Huancayo",4.58004590420169,2017-03-01
"288","PréstamosMicro",2017,3,"CMAC Piura",5.03501506541725,2017-03-01
"289","Créditos pequeñas empresas",2017,4,"CMAC Arequipa",7.16052284173491,2017-04-01
"290","Créditos pequeñas empresas",2017,4,"CMAC Cusco",6.29110572994851,2017-04-01
"291","Créditos pequeñas empresas",2017,4,"CMAC Huancayo",4.92309591105383,2017-04-01
"292","Créditos pequeñas empresas",2017,4,"CMAC Piura",7.0042991720969,2017-04-01
"293","PréstamosPeq",2017,4,"CMAC Arequipa",7.16052284173491,2017-04-01
"294","PréstamosPeq",2017,4,"CMAC Cusco",6.30232438453206,2017-04-01
"295","PréstamosPeq",2017,4,"CMAC Huancayo",4.89881199324459,2017-04-01
"296","PréstamosPeq",2017,4,"CMAC Piura",6.84813363718016,2017-04-01
"297","Créditos a microempresas",2017,4,"CMAC Arequipa",6.01919369453198,2017-04-01
"298","Créditos a microempresas",2017,4,"CMAC Cusco",5.91209497931671,2017-04-01
"299","Créditos a microempresas",2017,4,"CMAC Huancayo",4.8927552945532,2017-04-01
"300","Créditos a microempresas",2017,4,"CMAC Piura",5.38971173957111,2017-04-01
"301","PréstamosMicro",2017,4,"CMAC Arequipa",6.01919369453198,2017-04-01
"302","PréstamosMicro",2017,4,"CMAC Cusco",5.91427862608143,2017-04-01
"303","PréstamosMicro",2017,4,"CMAC Huancayo",4.89364941510516,2017-04-01
"304","PréstamosMicro",2017,4,"CMAC Piura",5.32427507279688,2017-04-01
"305","Créditos pequeñas empresas",2017,5,"CMAC Arequipa",7.05313413567859,2017-05-01
"306","Créditos pequeñas empresas",2017,5,"CMAC Cusco",6.51661344503192,2017-05-01
"307","Créditos pequeñas empresas",2017,5,"CMAC Huancayo",4.82286164083544,2017-05-01
"308","Créditos pequeñas empresas",2017,5,"CMAC Piura",6.82544868021595,2017-05-01
"309","PréstamosPeq",2017,5,"CMAC Arequipa",7.05313413567859,2017-05-01
"310","PréstamosPeq",2017,5,"CMAC Cusco",6.52786247707046,2017-05-01
"311","PréstamosPeq",2017,5,"CMAC Huancayo",4.7993072105648,2017-05-01
"312","PréstamosPeq",2017,5,"CMAC Piura",6.67136723955242,2017-05-01
"313","Créditos a microempresas",2017,5,"CMAC Arequipa",5.71725291288352,2017-05-01
"314","Créditos a microempresas",2017,5,"CMAC Cusco",6.05899650890483,2017-05-01
"315","Créditos a microempresas",2017,5,"CMAC Huancayo",4.92040387198585,2017-05-01
"316","Créditos a microempresas",2017,5,"CMAC Piura",5.4315441142047,2017-05-01
"317","PréstamosMicro",2017,5,"CMAC Arequipa",5.71725291288352,2017-05-01
"318","PréstamosMicro",2017,5,"CMAC Cusco",6.06113250673827,2017-05-01
"319","PréstamosMicro",2017,5,"CMAC Huancayo",4.92068387493944,2017-05-01
"320","PréstamosMicro",2017,5,"CMAC Piura",5.36679004656297,2017-05-01
